ID;PROVINCIA;LOCALIDAD
1347;Rocha;Capacho
1348;Rocha;La Coronilla
1349;Rocha;Los Indios
1350;Rocha;Fortin De San Miguel
1351;Rocha;Barra Del Chuy
1352;Rocha;Puimayen
1353;Rocha;La Fortaleza De Santa Teresa
1354;Rocha;Samuel
1355;Rocha;Barrio Pereira
1356;Rocha;Barrancas De La Coronilla
1357;Rocha;Barrio Carpacho
1358;Rocha;Palmares De La Coronilla
1359;Rocha;Castillos
1360;Rocha;Barra De Valizas
1361;Rocha;Barrio Torres
1362;Rocha;Aguas Dulces
1363;Rocha;Cabo Polonio
1364;Rocha;Punta Del Diablo
1365;Rocha;Punta Palmar
1366;Rocha;Cerro De Los Rocha
1367;Rocha;Palmar
1368;Rocha;Vuelta Del Palmar
1369;Rocha;Barrio Cardozo
1370;Rocha;Palmar De Castillos
1371;Rocha;Rincon De Los Olivera
1372;Rocha;Cerro De Pescadores
1373;Rocha;Rincon De Valizas
1374;Rocha;Oratorio
1375;Rocha;Plano 291
1376;Rocha;Puente Valizas
1377;Rocha;La Esmeralda
1378;Rocha;Paso Del Bañado
1379;Rocha;Velazquez
1380;Rocha;Cebollati
1381;Rocha;San Luis Al Medio
1382;Maldonado;Los Talas
1383;Rocha;Lascano
1384;Rocha;Alferez
1385;Rocha;Barra Isla Negra
1386;Rocha;Isla Negra
1387;Rocha;Paso Del Ombu
1388;Rocha;Paso De Lopez
1389;Rocha;Quebracho
1390;Rocha;Barrio Porvenir
1391;Rocha;Abra De Alferez
1392;Rocha;Los Ajos
1393;Rocha;El Chimango
1394;Rocha;Colonia Greissing
1395;Rocha;Empalme De Velazquez
1396;Rocha;La Tuna
1397;Rocha;Cuchilla Del Arbolito
1398;Maldonado;Rincon De Aparicio
1399;Rocha;Punta Cebollati
1400;Rocha;Costas De Cebollati
1401;Rocha;Costa Azul
1402;Rocha;La Aguada
1403;Rocha;Balneario Pueblo Nuevo
1404;Rocha;San Sebastian
1405;Rocha;Pueblo Nuevo
1406;Rocha;La Pedrera
1407;Rocha;Oceania Del Polonio
1408;Rocha;San Antonio
1409;Rocha;Puerto La Paloma
1410;Rocha;Antoniopolis
1411;Rocha;Punta Rubia
1412;Rocha;Tajamares De La Pedrera
1413;Rocha;La Aguada Y Costa Azul
1414;Rocha;San Sebastian De La Pedrera
1415;Rocha;Arachania
1416;Lavalleja;Polanco Norte
1417;Lavalleja;Consejo Del Niño
1418;Lavalleja;Colon
1419;Lavalleja;Villa Del Rosario
1420;Lavalleja;Estacion Solis
1421;Lavalleja;El Alto
1422;Lavalleja;La Plata
1423;Lavalleja;Vejigas
1424;Lavalleja;Las Achiras
1425;Lavalleja;Rincon De Mariscala
1426;Lavalleja;Rincon De Silva
1427;Lavalleja;Los Tapes
1428;Lavalleja;Paso De Mesa
1429;Lavalleja;Barriga Negra
1430;Lavalleja;Tapes Grande
1431;Lavalleja;Tapes Chico
1432;Lavalleja;Puntas De Barriga Negra
1433;Lavalleja;Cerro Pelado
1434;Lavalleja;Marco De Los Reyes
1435;Lavalleja;Ladrillos
1436;Lavalleja;Manguera Azul
1437;Lavalleja;Polanco
1438;Lavalleja;Polanco Sur
1439;Lavalleja;Puntas De Polanco
1440;Lavalleja;Chamame
1441;Lavalleja;Espuelitas
1442;Lavalleja;Sierras Blancas
1443;Lavalleja;La Cuchilla
1444;Lavalleja;Costas Del Soldado
1445;Lavalleja;Casupa Chico
1446;Lavalleja;Puntas De Santa Lucia
